Zeit;Temperatur1;Temperatur2;Temperatur3;Luftdruck;Luftfeuchtigkeit;Yaw;Pitch;Roll;Compass X;Compass Y;Compass Z;Gyro X;Gyro Y;Gyro Z
2019-02-28 01:49:52.089869;39.2281608581543;-;37.39583206176758;966.429443359375;24.926877975463867;167.266018886438;0.1311844418404598;0.3251360809975154;-11.740656852722168;-3.750141143798828;24.902782440185547;0.0010690316557884216;0.0018214681185781956;-0.004952874034643173
2019-02-28 01:49:53.524016;39.12063217163086;-;37.40208435058594;966.426513671875;25.505142211914062;166.3013639492004;0.2224703336442901;0.48496648295935413;-14.990259170532227;-4.135136604309082;31.653656005859375;0.0016647633165121078;0.002562671434134245;-0.006714947521686554
2019-02-28 01:49:55.013043;39.192317962646484;-;37.41666793823242;966.456298828125;25.43326759338379;165.48329853192965;0.3072821265896607;0.6136751012876033;-15.84155559539795;-4.6830644607543945;31.823707580566406;0.0035107582807540894;0.0015343367122113705;-0.007498620077967644
2019-02-28 01:49:56.511477;39.21023941040039;-;37.414581298828125;966.438232421875;24.789661407470703;164.6572554537083;0.3576055730121395;0.684899940426526;-15.684194564819336;-4.955860137939453;31.856922149658203;0.002664046362042427;0.0008426019921898842;-0.005078710615634918
2019-02-28 01:49:58.029064;39.2281608581543;-;37.42708206176758;966.429931640625;25.21437644958496;164.0386998620936;0.37378421008263696;0.7485164824385835;-15.638025283813477;-5.007983207702637;32.1208610534668;-0.0011791177093982697;-0.0007630959153175354;-0.0025257952511310577
2019-02-28 01:49:59.459639;39.28192901611328;-;37.443748474121094;966.43017578125;25.02488899230957;163.47451257627222;0.3929204257854558;0.735207645397402;-15.78600788116455;-4.8535380363464355;32.79277420043945;0.0008532050997018814;9.214784950017929e-05;-0.0029979776591062546
2019-02-28 01:50:00.883952;39.192317962646484;-;37.474998474121094;966.432373046875;24.992218017578125;163.15149927004398;0.3861890342345702;0.7471208293312266;-15.892269134521484;-4.871595859527588;32.744815826416016;0.00010892748832702637;-0.0011248053051531315;-0.002927938476204872
2019-02-28 01:50:02.368906;39.317771911621094;-;37.48125076293945;966.428466796875;24.7602596282959;163.01455397718522;0.38978769015352066;0.761422391679587;-15.997227668762207;-4.583266258239746;32.488399505615234;0.0009394362568855286;0.0009625791572034359;-0.0020627137273550034
2019-02-28 01:50:03.798586;39.17439651489258;-;37.477081298828125;966.41015625;25.426733016967773;162.89059970412782;0.30770386409048256;0.7733155652935775;-15.755428314208984;-4.866940021514893;33.025360107421875;0.0016883965581655502;-0.0005143429152667522;-0.0012519210577011108
2019-02-28 01:50:05.309518;39.138553619384766;-;37.44791793823242;966.40966796875;25.48227310180664;162.68106316077018;0.29742592349349434;0.7659233796209196;-15.741460800170898;-5.339261054992676;31.760425567626953;0.0024362336844205856;0.0012758304364979267;-0.0021956637501716614
